Asset_ID,Alternative_ID,Cost_USD,PoF_Post_Action,CoF_Total_USD,Safety_Risk_Level
IT_SYSTEM_001,Defer,0,0.38,596027,Critical
IT_SYSTEM_001,Pilot_Program,19806,0.25,596027,High
IT_SYSTEM_001,Partial_Implementation,86532,0.09,596027,Medium
DATACENTER_002,Defer,0,0.27,344752,Negligible
DATACENTER_002,Pilot_Program,9703,0.26,344752,Negligible
DATACENTER_002,Partial_Implementation,56613,0.06,344752,Negligible
CLOUD_MIGRATION_003,Defer,0,0.34,3005153,High
CLOUD_MIGRATION_003,Pilot_Program,14929,0.31,3005153,Medium
CLOUD_MIGRATION_003,Partial_Implementation,72354,0.11,3005153,Low
CLOUD_MIGRATION_003,Full_Implementation,388431,0.05,3005153,Low
BUILDING_RENOVATION_004,Defer,0,0.29,1245678,Medium
BUILDING_RENOVATION_004,Pilot_Program,12500,0.24,1245678,Medium
BUILDING_RENOVATION_004,Partial_Implementation,45000,0.08,1245678,Low
MARKET_EXPANSION_005,Defer,0,0.31,875432,High
MARKET_EXPANSION_005,Pilot_Program,8500,0.28,875432,Medium
MARKET_EXPANSION_005,Partial_Implementation,35000,0.07,875432,Low
MARKET_EXPANSION_005,Full_Implementation,125000,0.02,875432,Low
